time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1968-09-24T03:34:51.040Z,40.363,143.803,23.1,5.46,mw,,,,,iscgem,iscgem817325,2022-04-26T22:22:22.285Z,"177 km ENE of Miyako, Japan",earthquake,,4.6,0.49,,reviewed,iscgem,iscgem
1968-09-21T13:06:02.290Z,42.035,142.676,58.3,6.72,mw,,,,,iscgem,iscgem817240,2022-04-26T22:22:18.407Z,"41 km SE of Shizunai-furukawach?, Japan",earthquake,,4.8,0.36,,reviewed,iscgem,iscgem
1968-09-15T10:50:15.370Z,40.85,143.338,27.2,6.03,mw,,,,,iscgem,iscgem817038,2022-04-26T22:21:49.504Z,"160 km ENE of Hachinohe, Japan",earthquake,,4.6,0.2,,reviewed,iscgem,iscgem
1968-09-06T19:22:49.670Z,31.008,131.907,37.2,5.6,mw,,,,,iscgem,iscgem816788,2022-04-26T22:20:30.591Z,"82 km SE of Kushima, Japan",earthquake,,5,0.2,,reviewed,iscgem,iscgem
1968-08-25T09:13:48.390Z,40.056,143.393,21.5,5.7,mw,,,,,iscgem,iscgem818322,2022-04-26T22:25:20.016Z,"132 km ENE of Miyako, Japan",earthquake,,4.6,0.56,,reviewed,iscgem,iscgem
1968-08-25T09:07:32.600Z,40.108,143.43,21,5.72,mw,,,,,iscgem,iscgem818320,2022-04-26T22:25:13.730Z,"137 km ENE of Miyako, Japan",earthquake,,4,0.34,,reviewed,iscgem,iscgem
1968-08-16T10:39:17.480Z,38.589,143.574,15,5.92,mw,,,,,iscgem,iscgem818066,2022-04-26T22:24:28.752Z,"166 km ESE of Kamaishi, Japan",earthquake,,3.5,0.24,,reviewed,iscgem,iscgem
1968-08-09T10:38:04.790Z,43.503,147.202,31.8,5.5,mw,,,,,iscgem,iscgem817825,2022-04-26T22:23:40.470Z,"50 km SE of Shikotan, Russia",earthquake,,3.9,0.2,,reviewed,iscgem,iscgem
1968-08-08T04:55:10.920Z,36.363,141.587,37.6,5.77,mw,,,,,iscgem,iscgem817774,2022-04-26T22:23:38.170Z,"87 km ESE of Takahagi, Japan",earthquake,,5,0.2,,reviewed,iscgem,iscgem
1968-08-07T08:00:15.640Z,43.024,144.844,59.9,5.76,mw,,,,,iscgem,iscgem817753,2022-04-26T22:23:36.530Z,"38 km E of Kushiro, Japan",earthquake,,4.9,0.46,,reviewed,iscgem,iscgem
1968-08-05T16:17:06.910Z,33.231,132.192,45.7,6.8,mw,,,,,iscgem,iscgem817699,2022-04-26T22:23:31.603Z,"34 km W of Uwajima, Japan",earthquake,,4.9,0.3,,reviewed,iscgem,iscgem
1968-07-23T23:02:39.560Z,40.387,143.505,26.7,6,mw,,,,,iscgem,iscgem819294,2022-04-26T22:27:04.027Z,"156 km ENE of Miyako, Japan",earthquake,,9.4,0.32,,reviewed,iscgem,iscgem
1968-07-12T03:56:28.950Z,39.623,143.277,19.9,5.98,mw,,,,,iscgem,iscgem818931,2022-04-26T22:26:45.033Z,"114 km E of Miyako, Japan",earthquake,,4,0.47,,reviewed,iscgem,iscgem
1968-07-12T00:44:37.540Z,39.554,143.238,21.8,6,mw,,,,,iscgem,iscgem818928,2022-04-26T22:26:43.702Z,"111 km E of Yamada, Japan",earthquake,,4,0.2,,reviewed,iscgem,iscgem
1968-07-10T20:40:31.370Z,40.211,143.472,20,5.91,mw,,,,,iscgem,iscgem818892,2022-04-26T22:26:42.288Z,"145 km ENE of Miyako, Japan",earthquake,,14.5,0.27,,reviewed,iscgem,iscgem
1968-07-05T11:28:14.880Z,38.478,142.153,47,6.3,mw,,,,,iscgem,iscgem818662,2022-04-26T22:26:11.001Z,"74 km E of Ishinomaki, Japan",earthquake,,5.1,0.2,,reviewed,iscgem,iscgem
1968-07-01T10:45:12.550Z,35.999,139.348,60.6,6.1,mw,,,,,iscgem,iscgem818523,2022-04-26T22:25:52.720Z,"5 km NW of Sakado, Japan",earthquake,,4.9,0.3,,reviewed,iscgem,iscgem
1968-06-26T10:23:51.510Z,42.037,142.897,45,5.8,mw,,,,,iscgem,iscgem821247,2022-04-26T22:31:30.104Z,"54 km SE of Shizunai-furukawach?, Japan",earthquake,,10.8,0.45,,reviewed,iscgem,iscgem
1968-06-25T23:33:20.300Z,39.585,143.587,20.7,5.79,mw,,,,,iscgem,iscgem821218,2022-04-26T22:31:22.588Z,"141 km E of Yamada, Japan",earthquake,,3.9,0.2,,reviewed,iscgem,iscgem
1968-06-22T01:12:33.990Z,40.406,143.767,18.2,6.07,mw,,,,,iscgem,iscgem821004,2022-04-26T22:31:15.690Z,"177 km ENE of Miyako, Japan",earthquake,,3.6,0.2,,reviewed,iscgem,iscgem
1968-06-17T18:57:30.460Z,38.745,143.918,25,6.36,mw,,,,,iscgem,iscgem820585,2022-04-26T22:30:26.933Z,"187 km ESE of Kamaishi, Japan",earthquake,,4,0.41,,reviewed,iscgem,iscgem
1968-06-17T16:56:16.970Z,40.226,143.795,19.3,5.51,mw,,,,,iscgem,iscgem820577,2022-04-26T22:30:14.926Z,"171 km ENE of Miyako, Japan",earthquake,,3.9,0.48,,reviewed,iscgem,iscgem
1968-06-17T11:53:01.920Z,41.054,143.259,37.6,6.3,mw,,,,,iscgem,iscgem820557,2022-04-26T22:30:09.771Z,"160 km SSE of Shizunai-furukawach?, Japan",earthquake,,4.7,0.2,,reviewed,iscgem,iscgem
1968-06-15T03:31:19.200Z,39.41,142.898,21.1,5.52,mw,,,,,iscgem,iscgem820391,2022-04-26T22:29:32.466Z,"81 km E of Yamada, Japan",earthquake,,3.8,0.25,,reviewed,iscgem,iscgem
1968-06-14T11:52:39.880Z,39.306,142.992,24.5,5.7,mw,,,,,iscgem,iscgem820355,2022-04-26T22:29:21.024Z,"91 km ESE of Yamada, Japan",earthquake,,4.5,0.34,,reviewed,iscgem,iscgem
1968-06-13T21:10:37.180Z,39.421,143.097,30,6.15,mw,,,,,iscgem,iscgem820322,2022-04-26T22:29:14.117Z,"98 km E of Yamada, Japan",earthquake,,4,0.2,,reviewed,iscgem,iscgem
1968-06-13T11:56:24.480Z,39.235,143.187,30,5.61,mw,,,,,iscgem,iscgem820301,2022-04-26T22:29:12.901Z,"109 km ESE of Yamada, Japan",earthquake,,13.4,0.31,,reviewed,iscgem,iscgem
1968-06-12T21:57:42.320Z,39.362,142.955,27.5,6.3,mw,,,,,iscgem,iscgem820262,2022-04-26T22:29:07.399Z,"87 km E of Yamada, Japan",earthquake,,3.9,0.32,,reviewed,iscgem,iscgem
1968-06-12T17:52:02.210Z,39.206,143.022,25.1,5.52,mw,,,,,iscgem,iscgem820248,2022-04-26T22:28:55.576Z,"96 km ESE of Yamada, Japan",earthquake,,4.6,0.22,,reviewed,iscgem,iscgem
1968-06-12T13:41:53.250Z,39.503,143.07,32.1,7,mw,,,,,iscgem,iscgem820211,2022-04-26T22:28:51.433Z,"96 km E of Yamada, Japan",earthquake,,4,0.2,,reviewed,iscgem,iscgem
1968-06-08T05:29:48.020Z,43.54,147.096,40,5.89,mw,,,,,iscgem,iscgem819990,2022-04-26T22:28:29.832Z,"41 km SE of Shikotan, Russia",earthquake,,4.9,0.2,,reviewed,iscgem,iscgem
1968-06-01T10:31:50.290Z,40.252,142.397,45,5.78,mw,,,,,iscgem,iscgem819574,2022-04-26T22:27:50.450Z,"77 km NNE of Miyako, Japan",earthquake,,5.3,0.23,,reviewed,iscgem,iscgem
1968-05-25T11:52:58.910Z,40.179,143.29,31.8,6.11,mw,,,,,iscgem,iscgem822812,2022-04-26T22:33:54.379Z,"129 km ENE of Miyako, Japan",earthquake,,4.5,0.2,,reviewed,iscgem,iscgem
1968-05-24T14:06:24.920Z,40.881,143.178,27.6,6.59,mw,,,,,iscgem,iscgem822745,2022-04-26T22:33:50.441Z,"148 km ENE of Hachinohe, Japan",earthquake,,3.9,0.3,,reviewed,iscgem,iscgem
1968-05-22T19:29:28.010Z,40.25,142.51,48.5,6,mw,,,,,iscgem,iscgem822541,2022-04-26T22:33:43.616Z,"82 km NE of Miyako, Japan",earthquake,,5,0.3,,reviewed,iscgem,iscgem
1968-05-22T10:51:55.880Z,41.529,143.031,45.1,5.99,mw,,,,,iscgem,iscgem822518,2022-04-26T22:33:41.121Z,"105 km SSE of Shizunai-furukawach?, Japan",earthquake,,5.1,0.41,,reviewed,iscgem,iscgem
